DATE,OPEN,HIGH,LOW,PREV. CLOSE,CLOSE,VWAP,NO OF TRADES
01/01/2024,642.2,646.9,638.0,642.05,641.35,643.93,257804
29/12/2023,645.5,649.6,639.55,651.4,642.05,642.49,332467
28/12/2023,650.25,653.3,646.5,648.55,651.4,650.46,301058
27/12/2023,640.75,649.45,639.0,638.05,648.55,645.18,295473
26/12/2023,638.85,641.3,635.65,636.75,638.05,639.19,298625
22/12/2023,644.75,649.4,635.15,643.75,636.75,642.31,307210
21/12/2023,632.15,648.95,627.5,636.45,643.75,639.02,347188
20/12/2023,658.7,660.4,633.95,655.4,636.45,647.91,419233
19/12/2023,648.5,659.6,640.25,648.5,655.4,652.88,384049
18/12/2023,646.65,655.65,642.4,648.25,648.5,650.04,347590
15/12/2023,628.0,650.0,619.85,623.65,648.25,638.08,433979
14/12/2023,626.0,627.75,622.4,619.85,623.65,624.37,336921
13/12/2023,614.45,620.5,611.65,612.4,619.85,616.9,279821
12/12/2023,617.0,617.95,610.8,614.25,612.4,613.75,282774
11/12/2023,615.0,619.9,613.1,614.15,614.25,615.99,285158
08/12/2023,610.0,616.8,605.35,611.7,614.15,610.67,294891
07/12/2023,610.0,612.55,605.0,608.45,611.7,609.73,248309
06/12/2023,614.0,614.0,604.55,608.25,608.45,609.96,273409
05/12/2023,595.05,611.3,595.05,594.7,608.25,606.37,432396
04/12/2023,588.0,596.0,584.55,571.75,594.7,590.28,386859
01/12/2023,567.0,574.2,566.55,564.75,571.75,571.83,189868
30/11/2023,569.75,570.2,563.65,568.6,564.75,566.22,314822
29/11/2023,568.0,569.0,565.1,564.45,568.6,567.58,206929
28/11/2023,563.6,565.2,561.1,560.35,564.45,563.42,186090
24/11/2023,561.95,562.45,559.25,559.95,560.35,560.63,155259
23/11/2023,561.75,563.5,558.3,558.95,559.95,560.72,198344
22/11/2023,562.95,564.5,555.15,561.5,558.95,559.0,247815
21/11/2023,566.0,566.65,561.0,563.75,561.5,563.11,223495
20/11/2023,564.0,566.8,560.6,563.05,563.75,564.68,264832
17/11/2023,574.5,574.5,562.1,584.65,563.05,566.16,682644
16/11/2023,584.7,588.0,582.9,584.7,584.65,585.4,179964
15/11/2023,587.25,588.0,582.6,581.35,584.7,584.93,221182
13/11/2023,581.0,582.5,575.2,581.3,581.35,578.71,177978
12/11/2023,584.75,584.75,580.1,579.5,581.3,581.85,53935
10/11/2023,577.8,581.0,575.4,578.35,579.5,578.7,119792
09/11/2023,581.0,581.85,576.5,580.3,578.35,578.27,167584
08/11/2023,581.9,582.6,579.0,579.75,580.3,580.52,391419
07/11/2023,574.8,581.2,572.6,574.35,579.75,577.36,466280
06/11/2023,582.0,582.5,573.25,578.15,574.35,575.7,330138
03/11/2023,576.0,579.5,573.45,572.1,578.15,577.35,205720
02/11/2023,571.1,575.45,567.6,566.4,572.1,571.18,212716
01/11/2023,566.25,569.65,563.85,565.55,566.4,567.16,240220
31/10/2023,567.0,569.5,563.15,565.2,565.55,566.37,236664
30/10/2023,563.0,566.7,556.5,561.15,565.2,562.29,191150
27/10/2023,550.0,562.5,550.0,547.0,561.15,558.49,210599
26/10/2023,551.45,552.9,543.2,556.2,547.0,547.27,317445
25/10/2023,558.6,560.8,553.6,552.95,556.2,557.67,262171
23/10/2023,563.1,566.0,551.0,563.1,552.95,559.35,263251
20/10/2023,569.9,570.0,562.1,571.2,563.1,565.15,282726
19/10/2023,569.8,574.0,567.0,572.65,571.2,570.92,239777
18/10/2023,577.75,579.25,569.35,576.45,572.65,573.26,270057
17/10/2023,577.7,579.95,575.3,575.65,576.45,577.46,269728
16/10/2023,576.0,578.75,571.5,576.15,575.65,576.02,485503
13/10/2023,577.75,581.3,574.8,586.05,576.15,577.07,465129
12/10/2023,590.8,593.0,585.0,588.35,586.05,588.33,171954
11/10/2023,596.9,597.0,587.6,591.65,588.35,591.39,209131
10/10/2023,587.0,595.0,585.75,585.1,591.65,590.68,250192
09/10/2023,588.0,589.0,581.55,594.25,585.1,584.53,235554
06/10/2023,593.4,598.95,592.2,592.15,594.25,595.04,187684
05/10/2023,590.0,594.35,587.1,586.25,592.15,591.18,209600
04/10/2023,600.0,600.45,584.45,602.95,586.25,590.41,308578
03/10/2023,596.6,604.9,589.6,598.55,602.95,597.63,245784
29/09/2023,592.85,600.0,591.3,589.95,598.55,597.22,224164
28/09/2023,591.25,595.2,588.85,589.75,589.95,591.37,287488
27/09/2023,593.45,594.3,588.2,594.4,589.75,590.74,232626
26/09/2023,594.0,595.0,591.25,594.05,594.4,593.8,185873
25/09/2023,601.5,601.5,590.45,598.15,594.05,594.79,262285
22/09/2023,593.5,602.0,591.4,588.15,598.15,598.12,295166
21/09/2023,600.0,606.6,584.65,601.1,588.15,593.29,425490
20/09/2023,600.85,606.8,599.4,603.95,601.1,602.78,351772
18/09/2023,598.8,608.4,597.05,598.8,603.95,605.18,336027
15/09/2023,599.35,600.7,595.2,597.3,598.8,598.23,182595
14/09/2023,598.45,603.7,595.2,596.45,597.3,598.77,260528
13/09/2023,588.4,598.0,583.45,588.35,596.45,592.24,279643
12/09/2023,593.65,594.25,584.65,591.7,588.35,588.44,254109
11/09/2023,587.0,592.3,585.35,583.45,591.7,590.12,271751
08/09/2023,581.0,588.5,579.7,579.05,583.45,584.57,205241
07/09/2023,568.0,581.0,568.0,570.5,579.05,575.6,180550
06/09/2023,574.25,574.25,568.0,573.0,570.5,570.55,337013
05/09/2023,575.6,578.25,571.35,575.55,573.0,574.05,247672
04/09/2023,572.0,576.35,568.45,569.55,575.55,572.87,195524
01/09/2023,562.7,571.2,562.1,561.35,569.55,567.55,260408
31/08/2023,569.3,570.3,559.4,567.4,561.35,564.43,326854
30/08/2023,576.7,577.7,566.1,574.85,567.4,571.91,245036
29/08/2023,573.65,576.3,571.85,572.85,574.85,574.01,232951
28/08/2023,572.8,574.8,569.2,569.95,572.85,571.84,181649
25/08/2023,573.8,575.3,567.2,576.95,569.95,571.2,198589
24/08/2023,578.15,582.0,575.55,576.9,576.95,578.0,321952
23/08/2023,571.0,577.95,566.0,568.5,576.9,572.66,260827
22/08/2023,572.5,574.45,567.5,571.7,568.5,570.63,194890
21/08/2023,572.95,575.55,570.75,572.95,571.7,572.74,154325
18/08/2023,570.0,575.25,567.4,572.15,572.95,571.79,296911
17/08/2023,565.75,573.15,564.0,565.35,572.15,568.81,338178
16/08/2023,558.8,566.4,554.0,560.8,565.35,563.54,190829
14/08/2023,572.95,573.0,558.6,574.15,560.8,561.45,478707
11/08/2023,575.45,579.0,572.0,573.65,574.15,575.36,263372
10/08/2023,573.75,577.6,570.1,573.75,573.65,573.33,421225
09/08/2023,575.0,575.0,568.35,573.1,573.75,571.15,247711
08/08/2023,571.0,574.25,568.45,567.9,573.1,571.54,353947
07/08/2023,577.0,577.0,566.65,573.3,567.9,569.52,424649
04/08/2023,594.8,598.7,571.4,590.5,573.3,582.94,568761
03/08/2023,598.7,600.85,585.0,598.45,590.5,590.78,320867
02/08/2023,609.85,610.5,594.1,611.85,598.45,601.63,273820
01/08/2023,620.2,620.85,610.6,620.2,611.85,614.09,199918
31/07/2023,616.65,621.0,614.5,616.05,620.2,618.92,124305
28/07/2023,616.4,619.9,613.6,616.55,616.05,616.59,161432
27/07/2023,616.4,621.25,613.1,615.15,616.55,616.65,226610
26/07/2023,612.0,616.35,609.15,609.6,615.15,613.49,172572
25/07/2023,621.8,621.8,604.2,617.65,609.6,610.43,282970
24/07/2023,615.05,621.9,614.3,615.1,617.65,618.22,202347
21/07/2023,610.0,619.5,609.0,610.05,615.1,616.02,278392
20/07/2023,601.4,610.8,598.75,601.45,610.05,607.09,418329
19/07/2023,594.65,602.4,592.0,592.35,601.45,598.2,229380
18/07/2023,603.05,604.05,588.75,601.1,592.35,597.04,356474
17/07/2023,587.0,602.85,584.2,584.4,601.1,594.72,255411
14/07/2023,586.75,591.3,580.7,585.65,584.4,584.92,191652
13/07/2023,594.9,598.0,583.35,589.25,585.65,591.82,292405
12/07/2023,589.0,594.5,588.2,588.55,589.25,590.82,227576
11/07/2023,595.0,595.95,587.35,592.6,588.55,591.37,224137
10/07/2023,594.65,599.8,590.25,593.6,592.6,595.13,175959
07/07/2023,590.0,595.5,585.5,592.5,593.6,590.44,220036
06/07/2023,590.4,593.5,589.1,590.6,592.5,591.75,188528
05/07/2023,589.8,593.7,588.2,589.25,590.6,590.5,271617
04/07/2023,588.2,595.95,582.25,585.45,589.25,590.37,350400
03/07/2023,574.5,586.35,573.9,572.85,585.45,581.26,211446
30/06/2023,574.0,574.0,570.2,569.8,572.85,572.3,155913
